radacctid;acctsessionid;acctuniqueid;username;groupname;realm;nasipaddress;nasportid;nasporttype;acctstarttime;acctupdatetime;acctstoptime;acctinterval;acctsessiontime;acctauthentic;connectinfo_start;connectinfo_stop;acctinputoctets;acctoutputoctets;calledstationid;callingstationid;acctterminatecause;servicetype;framedprotocol;framedipaddress
2;5DD49DDD-00000002;1702ffc559a1f0df4db85bb041ced801;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:19:28+00;2019-11-20 02:23:15+00;2019-11-20 02:23:15+00;;226;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;447730;20299491;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
4;5DD4A41B-00000001;419aa29cf469db0136730a1d5e66a46d;arbol;NULL;NULL;172.10.0.1;2;Wireless-802.11;2019-11-20 02:32:26+00;2019-11-20 02:32:28+00;2019-11-20 02:32:28+00;;3;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;2786;0;38-FF-36-14-EA-29:Captive1;94-B8-6D-66-F6-84;Lost-Carrier;;;
3;5DD4A41B-00000000;5ccd04edb9f28c4244a2e9ee014cccb2;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:26:09+00;2019-11-20 02:34:15+00;2019-11-20 02:34:15+00;;486;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;45540;30345;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
5;5DD4A41B-00000003;5c2df269eaf5a567dacfd49c32e3c8e4;casa;NULL;NULL;172.10.0.1;2;Wireless-802.11;2019-11-20 02:33:01+00;2019-11-20 02:34:47+00;2019-11-20 02:34:47+00;;107;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;28301;1904;38-FF-36-14-EA-29:Captive1;94-B8-6D-66-F6-84;Lost-Carrier;;;
6;5DD4A41B-00000004;6b9383da960ed9761b54df511990cdbe;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:34:20+00;2019-11-20 02:34:53+00;2019-11-20 02:34:53+00;;34;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;2246;560;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
7;5DD4A41B-00000005;9e48f40771814230cc79c18777e57bc1;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:35:04+00;2019-11-20 02:35:41+00;2019-11-20 02:35:41+00;;36;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;2246;0;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
8;5DD4A41B-00000006;e563811af8bf631d995468b23b978455;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:35:53+00;2019-11-20 02:36:29+00;2019-11-20 02:36:29+00;;36;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;2246;0;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
9;5DD4A41B-00000007;c6a7a01d9f0a9cf3360944c815caadf0;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:39:00+00;2019-11-20 02:39:37+00;2019-11-20 02:39:37+00;;36;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;2246;0;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
11;5DD4A79B-00000001;022c8932c720fdeff47ec2925bd16493;casa;NULL;NULL;172.10.0.1;2;Wireless-802.11;2019-11-20 02:41:53+00;2019-11-20 02:41:58+00;2019-11-20 02:41:58+00;;5;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;18193;19501;38-FF-36-14-EA-29:Captive1;94-B8-6D-66-F6-84;Lost-Carrier;;;
12;5DD4A79B-00000002;5b0ced70f5d7571b083c0c4c875910ea;casa;NULL;NULL;172.10.0.1;2;Wireless-802.11;2019-11-20 02:42:02+00;2019-11-20 02:42:06+00;2019-11-20 02:42:06+00;;4;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;6126;7988;38-FF-36-14-EA-29:Captive1;94-B8-6D-66-F6-84;Lost-Carrier;;;
10;5DD4A79B-00000000;bcdea123c29f93e3798f96d27f5ec714;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:40:40+00;2019-11-20 02:42:34+00;2019-11-20 02:42:34+00;;113;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;54736;280061;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
14;5DD4A79B-00000004;fc254ff6ec52eba0a71db36a9911c2d3;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:42:39+00;2019-11-20 02:48:33+00;2019-11-20 02:48:33+00;;354;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;338852;8881078;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
19;5DD5D04D-00000000;fe36fcb64ec81a1f36645c6fdb33017a;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 23:50:05+00;2019-11-20 23:50:32+00;2019-11-20 23:50:32+00;;27;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;187095;3378971;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
15;5DD4A79B-00000005;72ad9def776e4c3942c72df829ea2a1f;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 02:54:56+00;2019-11-20 03:02:37+00;2019-11-20 03:02:37+00;;461;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;101325;359853;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
16;5DD4A79B-00000006;b0669323dcb04493b7ca340bb4cc029a;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 03:04:39+00;2019-11-20 03:06:29+00;2019-11-20 03:06:29+00;;110;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;30999;115275;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
18;5DD4A79B-0000000C;f20ad1e280d3d6c758d51d672636e444;arbol;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 23:31:08+00;2019-11-20 23:45:18+00;2019-11-20 23:45:18+00;120;850;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;158214897;36197530;38-FF-36-14-EA-29:Captive1;94-B8-6D-66-F6-84;Admin-Reboot;;;
13;5DD4A79B-00000003;9ab52ec2652a27829475b47add4b46c9;arbol;NULL;NULL;172.10.0.1;2;Wireless-802.11;2019-11-20 02:42:19+00;2019-11-20 23:46:20+00;2019-11-20 23:46:20+00;600;75841;RADIUS;CONNECT 802.11a/n;NULL;1859847;2212938;38-FF-36-14-EA-29:Captive1;94-B8-6D-66-F6-84;NAS-Reboot;;;
17;5DD4A79B-00000007;3e790d337274d2bce73b660264558689;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-20 03:06:33+00;2019-11-20 23:46:20+00;2019-11-20 23:46:20+00;600;74387;RADIUS;CONNECT 802.11a/n;NULL;181533;5127797;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;NAS-Reboot;;;
20;5DD5D2A1-00000000;01c3e7e4446b3569ed43c514ecef6198;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-21 00:07:29+00;2019-11-21 00:08:03+00;2019-11-21 00:08:03+00;;34;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;3329;24823;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
26;5DD5D564-00000000;a1da3160b12b2c6f2667838cfcef4ef1;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-21 00:08:32+00;2019-11-21 00:11:34+00;2019-11-21 00:11:34+00;60;181;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;29572;177897;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;Lost-Carrier;;;
27;5DD5D564-00000001;3fcf12cc362efb7cacb80b1e4e9672d3;casa;NULL;NULL;172.10.0.1;1;Wireless-802.11;2019-11-21 00:13:45+00;2019-11-21 00:13:45+00;2019-11-21 00:13:45+00;60;16;RADIUS;CONNECT 802.11a/n;CONNECT 802.11a/n;5108;34279;38-FF-36-14-EA-29:Captive1;5C-AF-06-23-7A-E6;;;;
